,case_id,submitter_id,MKI67_tpm_unst,ERBB2_tpm_unst,ESR1_tpm_unst,PGR_tpm_unst
111,f947d67f-4aa2-4eb9-977e-21a5ae563613,TCGA-A8-A08P,28.6276,201.9265,98.5237,7.2475
112,eb2dbb4f-66b6-4525-8323-431970f7a64e,TCGA-A2-A0CM,83.995,42.1815,2.2302,0.1958
113,dd0f8e5a-383d-4f03-bb71-0e115d4e442c,TCGA-C8-A12M,19.8654,239.5651,452.4746,1.4205
114,ebc460c2-df88-4dc0-a2c0-aca8072b75ad,TCGA-AN-A0AR,56.3372,31.5772,1.0221,0.0361
115,65077db7-dd59-4362-9d28-d5a9154e9be0,TCGA-C8-A278,26.2348,735.8495,1.5134,0.4584
116,ec0155ab-1b14-498d-8fa9-9f63e3ccb990,TCGA-E2-A1IH,19.4151,80.6994,90.9551,17.1825
117,b6b932ce-6856-4d94-9e6c-16dfbe51906f,TCGA-E9-A1QZ,19.6014,131.9169,139.9247,27.3206
118,ec461eaf-f5cb-4225-a9a0-59d8e6c17ea6,TCGA-S3-A6ZH,14.9941,239.9496,68.155,130.2363
119,bfa3dbc0-361c-400e-8c10-0aca7049fce9,TCGA-D8-A27W,40.7218,178.7594,114.5948,2.1311
120,e7bae6e7-f779-449d-92b9-66996041e00d,TCGA-AC-A23E,20.9297,121.735,69.8317,87.8415
121,ed6cef77-1bd9-4e3b-b576-550a91e4253a,TCGA-EW-A1J1,15.5878,139.8954,215.2259,126.9325
122,2481a671-760b-428c-968d-42e25fd42ac5,TCGA-AC-A3W7,20.6717,172.3805,183.3421,11.9492
123,ee5744c0-a8dc-43f2-abdd-0b5529a3e9fb,TCGA-EW-A1P6,16.6851,105.6582,311.4014,340.4869
124,eebad74f-5961-4e91-b0eb-157a2f6f952b,TCGA-E2-A1L8,7.5933,76.7326,122.0779,59.13
125,2192c1db-4718-4254-ba42-3ae7f30ad5a8,TCGA-A2-A0EQ,65.848,78.1859,5.7854,0.115
126,ef4cbd38-bc79-4d60-a715-647edd2ebe9e,TCGA-E2-A1LG,45.1118,142.6494,0.0818,0.0153
127,91b09291-5944-4691-a0d8-7d1ccc649b9b,TCGA-BH-A6R8,6.1239,153.229,116.6273,36.9478
128,f02931f8-d72a-481d-b532-8b141dab115f,TCGA-B6-A0WW,30.1797,174.3589,428.3698,11.1227
129,f04dca9e-409b-4300-b11d-12243e5d361d,TCGA-E2-A576,16.5675,157.154,156.587,15.5398
130,f05d314c-5ec5-4e2a-b785-9a702716f111,TCGA-E2-A156,23.5819,260.3052,818.5541,326.7676
131,f062cbd0-2426-40ac-a4be-e74ac61fa2a7,TCGA-A7-A56D,9.2997,53.4042,42.7037,2.3062
132,4da999a0-ef41-4a0b-b1d1-446b39cc855a,TCGA-EW-A1PH,48.2494,106.4,0.2672,0.3225
133,f0787165-6f58-4d67-b510-928eea2c4882,TCGA-E2-A109,87.5438,219.2114,259.5498,0.4446
134,7d681cc6-689d-41c8-9e84-e13733089ec9,TCGA-AR-A1AS,21.527,134.3247,201.5622,71.2005
135,f0de67ff-8967-4fce-9c12-0e07193285cd,TCGA-E2-A2P5,43.2882,63.5618,90.9866,38.404
136,599c3701-df7a-4a75-a347-fa9b510dd242,TCGA-AR-A24K,47.9621,139.7,197.1053,126.6868
137,95c53ecf-d8f1-4bcb-9b1a-c9a0542939f0,TCGA-LD-A9QF,17.94,2462.0887,1.7497,0.6349
138,17ca61a2-607a-45ff-88fa-ef72e80bf891,TCGA-BH-A0HF,,,,
139,f2622cdb-ac92-42b3-a1ca-67e133c3dd4a,TCGA-AC-A3OD,33.1875,25.2666,267.7033,46.295
140,b3bb8fd6-ee54-4813-b042-2bbe70115382,TCGA-BH-A0BQ,8.6144,194.838,68.0058,25.1643
141,f2da1d3f-f226-4c99-a97e-9b26f67d7a5d,TCGA-E9-A1R0,20.6449,152.0281,117.4024,194.5119
142,f2e28af9-c40e-41c4-9e82-205cca38f26a,TCGA-EW-A1P1,14.8031,83.5537,11.0874,9.6927
143,e6b79d7a-ed6b-459a-b040-d142616e7ab4,TCGA-BH-A0BF,31.4192,51.868,21.8349,10.7343
144,a721dac6-0126-476c-b2d4-2dbf7406454b,TCGA-AC-A23G,11.5847,118.5879,67.599,54.1671
145,a76774fe-7298-4d68-a2b2-c1bad93f0c31,TCGA-GM-A2DL,22.8058,49.4009,67.1245,62.7842
146,1a18974d-967c-4727-b42e-12ae7be66589,TCGA-B6-A0I5,5.724,110.9521,38.7649,15.6911
147,a8015490-9740-45c9-8bd2-eb6d1beefc2e,TCGA-E2-A152,26.202,4603.2464,6.6671,0.7036
148,4dfc233b-ed03-4825-8089-e04cdee99996,TCGA-EW-A1PD,73.9063,344.2777,207.4045,5.2151
149,9fefbe7c-f66a-4940-843e-285cb7b392c1,TCGA-AR-A24Z,73.6721,81.6066,638.1713,55.7571
150,a0576d44-9add-429b-9eeb-f7b234b7385f,TCGA-E2-A14Y,65.3202,1558.4883,2.2655,0.0952
151,14267783-5624-4fe5-ba81-9d67f1017474,TCGA-BH-A0DP,1.0712,244.2117,133.8749,32.7298
152,a0963e93-b63e-4de2-86c1-81302e271d3e,TCGA-AR-A250,51.0541,938.5356,241.7855,1.1346
153,d10a4887-373b-4726-a61d-126f950e4a06,TCGA-BH-A0C1,50.6349,164.82,131.0311,81.2562
154,d111c4ab-b39a-4a7c-8d8e-cb342bc10627,TCGA-A2-A4RX,23.654,115.4415,3.0156,4.2257
155,a1674d7b-787a-45c4-bf16-1b7d0efce207,TCGA-E2-A15P,6.4637,245.2368,253.9094,4.2883
156,738e1acc-1f0c-4a96-9c8a-222727ef5af8,TCGA-AR-A2LJ,7.3221,935.8472,22.6145,13.8769
157,d1703dbd-5c93-4cf2-a4d1-0d90640882bd,TCGA-AR-A0TR,10.6119,215.6271,608.6077,220.5259
158,4d120899-9a80-4736-b097-285e9e261bcb,TCGA-AQ-A1H2,5.0942,191.2381,892.2475,2.6769
159,a5b44d66-c162-46b5-9df2-86305f0385c5,TCGA-A1-A0SK,153.302,6.7185,0.1778,0.1246
160,53d0af48-d7ea-42c9-8695-c614b89b415b,TCGA-EW-A1P5,15.8718,93.2722,432.2218,206.688
161,e36e985d-2c44-4e14-854a-7dbca4bb0304,TCGA-E9-A3Q9,1.8073,33.9274,107.9396,123.8606
162,e3935ce4-64d3-4a66-ba11-d308b844b410,TCGA-E9-A5FL,13.8305,27.7342,4.5339,0.0163
163,e3b555aa-7f0a-49c6-9b13-182c61a144c1,TCGA-A2-A1G4,56.9116,66.6796,667.7276,49.8453
164,87e09544-eddb-473b-8617-212407ce644e,TCGA-E2-A106,10.4681,163.6874,219.7808,33.8239
165,557cb0a3-6f1b-4faf-8296-0a15c24158f9,TCGA-BH-A18P,91.9489,276.4907,33.0507,0.5274
166,c31900a4-5dcd-4022-97ac-638e86e889e4,TCGA-3C-AALK,14.3286,550.8894,30.2662,24.9864
167,f3cb557d-23e4-4fd1-81ca-db1a3f56d56e,TCGA-E9-A3QA,27.5083,51.6483,10.4941,0.4523
168,56230e4a-29ca-4f37-a0f9-730dbdfb6fa2,TCGA-AC-A7VB,,,,
169,c0892598-1f7b-4f23-9cd8-731f797753d5,TCGA-A2-A0YG,74.2164,2606.4779,169.8854,0.855
170,c710f4ab-fbd9-42ed-95d4-4e6d51207f38,TCGA-BH-A0B4,19.1782,180.4494,80.4835,13.6976
171,79126e88-9cf8-45ff-bf91-a98da3b304d7,TCGA-AC-A2FK,4.3546,226.2886,17.6803,75.3155
172,8d9b50d1-139b-4447-ae9c-e54764d9e2a7,TCGA-AC-A6NO,20.0787,216.3465,91.0705,69.0967
173,c1e704d6-a33b-4891-90bd-992b0040c075,TCGA-C8-A3M8,10.6253,290.5688,286.3962,0.701
174,27dfb9d4-3a2c-44bc-9acf-8f638d3f3004,TCGA-BH-A0GZ,4.3103,67.6193,194.1962,27.2468
175,d1fd8ed2-be13-4272-b31e-df86911db3b1,TCGA-AR-A24P,41.3197,208.5514,194.5045,44.2815
176,095c7985-3842-494f-b591-706ad1cd2133,TCGA-AO-A03M,34.9329,242.1776,38.1995,22.4482
177,b5b99291-507e-4b68-a039-9a0f571f55df,TCGA-AO-A12H,8.8161,69.7829,618.9381,3.8453
178,d3b9d925-ae04-4721-8bfc-50b41225bc74,TCGA-BH-A0E7,20.5999,159.8471,393.1629,644.8363
179,c397e6c2-ba3a-4f5e-a258-c140611192fe,TCGA-A1-A0SE,30.2323,178.1627,67.2242,96.5261
180,d3d545b3-457f-4389-821f-704cb24aff7f,TCGA-AR-A256,185.5406,37.5762,0.5641,0.173
181,ad18820b-a804-49c0-ba8a-86c09fa6bce2,TCGA-BH-A1F6,1.6342,30.0212,38.8897,20.6762
